Sample	Rep	Species	Morph	Sex	Tissue	Treatment	Strandedness
B_01	REP1	Ppar	parae	Male	Brain	flx	forward
B_02	REP1	Ppar	mel	Male	Brain	flx	forward
B_04	REP2	Ppar	parae	Male	Brain	flx	forward
B_05	REP2	Ppar	mel	Male	Brain	flx	forward
B_06	REP1	Ppar	immac	Male	Brain	flx	forward
B_07	REP2	Ppar	immac	Male	Brain	flx	forward
B_08	REP3	Ppar	mel	Male	Brain	flx	forward
B_09	REP3	Ppar	parae	Male	Brain	flx	forward
B_12	REP3	Ppar	immac	Male	Brain	flx	forward
B_13	REP1	Ppar	female	Female	Brain	flx	forward
B_14	REP2	Ppar	female	Female	Brain	flx	forward
B_15	REP3	Ppar	female	Female	Brain	flx	forward
B_29	REP1	Ppar	parae	Male	Brain	veh	forward
B_30	REP1	Ppar	mel	Male	Brain	veh	forward
B_31	REP1	Ppar	immac	Male	Brain	veh	forward
B_32	REP2	Ppar	parae	Male	Brain	veh	forward
B_33	REP2	Ppar	mel	Male	Brain	veh	forward
B_34	REP2	Ppar	immac	Male	Brain	veh	forward
B_35	REP3	Ppar	parae	Male	Brain	veh	forward
B_36	REP3	Ppar	mel	Male	Brain	veh	forward
B_37	REP3	Ppar	immac	Male	Brain	veh	forward
B_41	REP1	Ppar	female	Female	Brain	veh	forward
B_42	REP2	Ppar	female	Female	Brain	veh	forward
B_43	REP3	Ppar	female	Female	Brain	veh	forward
Mu_01	REP1	Ppar	parae	Male	Muscle	flx	forward
Mu_02	REP1	Ppar	mel	Male	Muscle	flx	forward
Mu_04	REP2	Ppar	parae	Male	Muscle	flx	forward
Mu_05	REP2	Ppar	mel	Male	Muscle	flx	forward
Mu_06	REP1	Ppar	immac	Male	Muscle	flx	forward
Mu_07	REP2	Ppar	immac	Male	Muscle	flx	forward
Mu_08	REP3	Ppar	mel	Male	Muscle	flx	forward
Mu_09	REP3	Ppar	parae	Male	Muscle	flx	forward
Mu_12	REP3	Ppar	immac	Male	Muscle	flx	forward
Mu_13	REP1	Ppar	female	Female	Muscle	flx	forward
Mu_14	REP2	Ppar	female	Female	Muscle	flx	forward
Mu_15	REP3	Ppar	female	Female	Muscle	flx	forward
Mu_29	REP1	Ppar	parae	Male	Muscle	veh	forward
Mu_30	REP1	Ppar	mel	Male	Muscle	veh	forward
Mu_31	REP1	Ppar	immac	Male	Muscle	veh	forward
Mu_32	REP2	Ppar	parae	Male	Muscle	veh	forward
Mu_33	REP2	Ppar	mel	Male	Muscle	veh	forward
Mu_34	REP2	Ppar	immac	Male	Muscle	veh	forward
Mu_35	REP3	Ppar	parae	Male	Muscle	veh	forward
Mu_36	REP3	Ppar	mel	Male	Muscle	veh	forward
Mu_37	REP3	Ppar	immac	Male	Muscle	veh	forward
Mu_41	REP1	Ppar	female	Female	Muscle	veh	forward
Mu_42	REP2	Ppar	female	Female	Muscle	veh	forward
Mu_43	REP3	Ppar	female	Female	Muscle	veh	forward
